Key,UsedInMainMenu,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
cntEPSMunitionsBox,blocks,block,,,Munitions Box,,,,,
cntEPSMunitionsBoxDesc,blocks,block,,,Player Storage for your stuff.,,,,,
cntEPSLockers,blocks,block,,,Lockers,,,,,
cntEPSLockersDesc,blocks,block,,,Player Storage for your stuff.,,,,,
cntEPSFileCabinet,blocks,block,,,File Cabinet,,,,,
cntEPSFileCabinetDesc,blocks,block,,,Player Storage for your stuff.,,,,,
cntEPSCardboardBox,blocks,block,,,Cardboard Storage,,,,,
cntEPSCardboardBoxDesc,blocks,block,,,Player Storage for your stuff.,,,,,
cntEPSFridge,blocks,block,,,StainlessSteel Refrigerator,,,,,
cntEPSFridgeDesc,blocks,block,,,Player Storage for your stuff.,,,,,
cntEPSRetroFridge,blocks,block,,,Retro Fridge,,,,,
cntEPSRetroFridgeDesc,blocks,block,,,Player Storage for your stuff.,,,,,
cntEPSPillCase,blocks,block,,,Pill Case,,,,,
cntEPSPillCaseDesc,blocks,block,,,Player Storage for your stuff.,,,,,
cntEPSBeerCooler,blocks,block,,,Drink Cooler,,,,,
cntEPSBeerCoolerDesc,blocks,block,,,Player Storage for your stuff.,,,,,
cntEPSMedicineCabinet,blocks,block,,,Medicine Cabinet,,,,,
cntEPSMedicineCabinetDesc,blocks,block,,,Player Storage for your stuff.,,,,,
cntEPSBookcase,blocks,block,,,Bookcase,,,,,
cntEPSBookcaseDesc,blocks,block,,,Player Storage for your stuff.,,,,,
cntEPSWallSafe,blocks,block,,,Wall Safe,,,,,
cntEPSWallSafeDesc,blocks,block,,,Player Storage for your stuff.,,,,,
cntEPSCasket,blocks,block,,,Casket,,,,,
cntEPSCasketDesc,blocks,block,,,Player Storage for your stuff.,,,,,
cntEPSGasPump,blocks,block,,,Gas Pump,,,,,
cntEPSGasPumpDesc,blocks,block,,,Player Storage for your stuff.,,,,,
