Key,UsedInMainMenu,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
workstationOvenWhite,blocks,block,,,Working Oven White,,,,,
workstationOvenWhiteDesc,blocks,block,,,This working oven can be used to cook many different recipes without using a fuel source.,,,,,
workstationOvenGrey,blocks,block,,,Working Oven Grey,,,,,
workstationOvenGreyDesc,blocks,block,,,This working oven can be used to cook many different recipes without using a fuel source.,,,,,
workstationOvenBlack,blocks,block,,,Working Oven Black,,,,, 
workstationOvenBlackDesc,blocks,block,,,This working oven can be used to cook many different recipes without using a fuel source.,,,,,  
workingKitchenSink,blocks,block,,,Kitchen Sink,,,,,
workingKitchenSinkDesc,blocks,block,,,This working kitchen sink can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingWallMountSink,blocks,block,,,Wall Mount Sink,,,,,
workingWallMountSinkDesc,blocks,block,,,This working wall mounted sink can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingFountain,blocks,block,,,Fountain,,,,,
workingFountainDesc,blocks,block,,,This working fountain can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingDoubleFountain,blocks,block,,,Double Fountain,,,,,
workingDoubleFountainDesc,blocks,block,,,This working double fountain can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingToilet01,blocks,block,,,Toilet 01,,,,,
WorkingToilet01Desc,blocks,block,,,This working toilet (Hey desperate times calls for desperate measures) can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingToilet02,blocks,block,,,Toilet 02,,,,,
workingToilet02Desc,blocks,block,,,This working toilet (Hey desperate times calls for desperate measures) can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingToilet03,blocks,block,,,Toilet 03,,,,,
WorkingToilet03Desc,blocks,block,,,This working toilet (Hey desperate times calls for desperate measures) can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingUrinal,blocks,block,,,Toilet 03,,,,,
WorkingUrinalDesc,blocks,block,,,This working urinal (Hey desperate times calls for desperate measures) can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingWaterCooler,blocks,block,,,Water Cooler,,,,,
WorkingWaterCoolerDesc,blocks,block,,,This working water cooler can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingWaterCoolerSide,blocks,block,,,Water Cooler Side,,,,,
WorkingWaterCoolerSideDesc,blocks,block,,,This working water cooler side can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingSodaFountain,blocks,block,,,Soda Fountain,,,,,
workingSodaFountainDesc,blocks,block,,,This working soda fountain can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingCoffeeMaker,blocks,block,,,Coffee Machine,,,,,
WorkingCoffeeMakerDesc,blocks,block,,,This working coffee maker can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingCoffeeMakerCommercial,blocks,block,,,Commercial Coffee Maker,,,,,
WorkingCoffeeMakerCommercialDesc,blocks,block,,,This coffee maker commercial can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
